,"('000333.SZ', '000858.SZ')","('000333.SZ', '000651.SZ')","('000858.SZ', '600887.SH')","('000858.SZ', '000651.SZ')","('000858.SZ', '600519.SH')","('601318.SH', '000002.SZ')","('600519.SH', '600887.SH')","('000333.SZ', '600519.SH')","('000333.SZ', '601318.SH')","('600276.SH', '600887.SH')","('601318.SH', '000651.SZ')","('600519.SH', '000651.SZ')","('000651.SZ', '600887.SH')","('600276.SH', '600519.SH')","('000651.SZ', '000002.SZ')","('000333.SZ', '000002.SZ')","('601318.SH', '000858.SZ')","('000333.SZ', '600887.SH')","('600276.SH', '000858.SZ')","('601318.SH', '600519.SH')"
2018-07-02 00:00:00,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
2018-07-03 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-07-04 00:00:00,0,0,1,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0
2018-07-05 00:00:00,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0
2018-07-06 00:00:00,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0
2018-07-09 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-07-10 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2018-07-11 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-07-12 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-07-13 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-07-16 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-07-17 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-07-18 00:00:00,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0
2018-07-19 00:00:00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2018-07-20 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-07-23 00:00:00,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
2018-07-24 00:00:00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2018-07-25 00:00:00,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-07-26 00:00:00,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2018-07-27 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-07-30 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-07-31 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
